 # Time [s], c_{ex}/c_{th}, total number of produced vacancies/c_{th}, total number of annihilated vacancies /c_{th}
                            0.000000E+00                                     NaN                                Infinity                                Infinity
                            0.575276E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.580260E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.585267E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.590296E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.595346E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.600419E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.605514E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.610632E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.615772E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.620073E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.625255E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.630461E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.635690E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.640066E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.645338E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.650635E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.655067E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.660407E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.665773E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.670262E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.675673E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.680201E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.685657E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.690224E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.695727E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.700332E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.705883E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.710528E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.715192E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.720812E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.725517E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.730240E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.735932E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.740697E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.745480E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.750283E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.755105E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.760917E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.765783E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.770668E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.775573E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.780498E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.785443E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.790409E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.795395E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.800394E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.805394E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.810394E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.815394E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.820394E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.825394E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.830394E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.835394E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.840394E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.845394E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.850394E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.855394E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.860394E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.865394E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.870394E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.875394E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.880394E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.885394E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.890394E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.895394E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.900394E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.905394E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.910394E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.915394E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.920394E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.925394E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.930394E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.935394E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.940394E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.945394E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.950394E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.955394E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.960394E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.965394E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.970394E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.975394E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.980394E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.985394E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.990394E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.995394E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.100039E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.100539E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.101039E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.101539E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.102039E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.102539E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.103039E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.103539E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.104039E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.104539E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.105039E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.105539E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.106039E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.106539E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.107039E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.107539E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.108039E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.108539E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.109039E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.109539E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.110039E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.110539E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.111039E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.111539E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.112039E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.112539E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.113039E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.113539E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.114039E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.114539E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.115039E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.115539E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.116039E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.116539E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.117039E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.117539E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.118039E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.118539E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.119039E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.119539E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.120039E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.120539E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.121039E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.121539E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.122039E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.122539E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.123039E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.123539E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.124039E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.124539E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.125039E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.125539E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.126039E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.126539E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.127039E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.127539E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.128039E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.128539E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.129039E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.129539E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.130039E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.130539E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.131039E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.131539E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.132039E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.132539E+04                            0.000000E+00                            0.000000E+00                            0.000000E+00
