 #Time, [s], Average Radius [nm], Total precipitate density [/micron^3], Volume fraction [], Critical radius [nm], Nucleation rate [/micron^3/s], Concentration in the matrix [at %]
                                0.000000                             1257.499822                            0.133040E-01                            0.125000E+00****************************************                            0.000000E+00                            0.674857E-01                            0.000000E+00
                              315.070086                             1101.504031                            0.133011E-01                            0.907409E-01                           -0.131594E+00                            0.159401E+13                            0.743625E-01                            0.000000E+00
                              320.243648                             1099.200402                            0.133007E-01                            0.903075E-01                           -0.132399E+00                            0.159656E+13                            0.744462E-01                            0.000000E+00
                              325.119550                             1097.036853                            0.133003E-01                            0.899021E-01                           -0.133159E+00                            0.159893E+13                            0.745244E-01                            0.000000E+00
                              330.020498                             1094.869627                            0.132999E-01                            0.894975E-01                           -0.133925E+00                            0.160127E+13                            0.746023E-01                            0.000000E+00
                              335.275986                             1092.553980                            0.132994E-01                            0.890669E-01                           -0.134749E+00                            0.160374E+13                            0.746853E-01                            0.000000E+00
                              340.229274                             1090.379479                            0.132989E-01                            0.886641E-01                           -0.135526E+00                            0.160603E+13                            0.747627E-01                            0.000000E+00
                              345.208173                             1088.201625                            0.132984E-01                            0.882621E-01                           -0.136310E+00                            0.160830E+13                            0.748400E-01                            0.000000E+00
                              350.212871                             1086.020535                            0.132978E-01                            0.878610E-01                           -0.137100E+00                            0.161055E+13                            0.749170E-01                            0.000000E+00
                              355.243557                             1083.836329                            0.132972E-01                            0.874608E-01                           -0.137896E+00                            0.161277E+13                            0.749938E-01                            0.000000E+00
                              360.300422                             1081.649136                            0.132965E-01                            0.870614E-01                           -0.138697E+00                            0.161496E+13                            0.750704E-01                            0.000000E+00
                              365.043954                             1079.605178                            0.132958E-01                            0.866895E-01                           -0.139451E+00                            0.161699E+13                            0.751416E-01                            0.000000E+00
                              370.151983                             1077.412590                            0.132951E-01                            0.862918E-01                           -0.140264E+00                            0.161913E+13                            0.752177E-01                            0.000000E+00
                              375.286763                             1075.217419                            0.132942E-01                            0.858950E-01                           -0.141084E+00                            0.162126E+13                            0.752936E-01                            0.000000E+00
                              380.103534                             1073.166393                            0.132934E-01                            0.855254E-01                           -0.141854E+00                            0.162321E+13                            0.753642E-01                            0.000000E+00
                              385.290598                             1070.966650                            0.132924E-01                            0.851303E-01                           -0.142686E+00                            0.162528E+13                            0.754396E-01                            0.000000E+00
                              390.156518                             1068.911627                            0.132914E-01                            0.847623E-01                           -0.143468E+00                            0.162719E+13                            0.755098E-01                            0.000000E+00
                              395.046419                             1066.854874                            0.132904E-01                            0.843951E-01                           -0.144256E+00                            0.162907E+13                            0.755798E-01                            0.000000E+00
                              400.312399                             1064.649444                            0.132892E-01                            0.840025E-01                           -0.145106E+00                            0.163106E+13                            0.756545E-01                            0.000000E+00
                              405.252506                             1062.589541                            0.132880E-01                            0.836369E-01                           -0.145905E+00                            0.163290E+13                            0.757241E-01                            0.000000E+00
                              410.217112                             1060.528332                            0.132868E-01                            0.832720E-01                           -0.146710E+00                            0.163471E+13                            0.757935E-01                            0.000000E+00
                              415.206387                             1058.465962                            0.132855E-01                            0.829080E-01                           -0.147521E+00                            0.163650E+13                            0.758626E-01                            0.000000E+00
                              420.220505                             1056.402578                            0.132841E-01                            0.825447E-01                           -0.148338E+00                            0.163826E+13                            0.759316E-01                            0.000000E+00
                              425.259640                             1054.338330                            0.132826E-01                            0.821822E-01                           -0.149160E+00                            0.163999E+13                            0.760003E-01                            0.000000E+00
                              430.323968                             1052.273372                            0.132810E-01                            0.818205E-01                           -0.149989E+00                            0.164170E+13                            0.760689E-01                            0.000000E+00
                              435.049271                             1050.355409                            0.132795E-01                            0.814853E-01                           -0.150763E+00                            0.164327E+13                            0.761323E-01                            0.000000E+00
                              440.162688                             1048.289519                            0.132778E-01                            0.811251E-01                           -0.151603E+00                            0.164493E+13                            0.762005E-01                            0.000000E+00
                              445.301822                             1046.223379                            0.132760E-01                            0.807658E-01                           -0.152450E+00                            0.164656E+13                            0.762684E-01                            0.000000E+00
                              450.097061                             1044.304737                            0.132742E-01                            0.804327E-01                           -0.153241E+00                            0.164806E+13                            0.763314E-01                            0.000000E+00
                              455.286308                             1042.238572                            0.132722E-01                            0.800749E-01                           -0.154099E+00                            0.164964E+13                            0.763989E-01                            0.000000E+00
                              460.128398                             1040.320191                            0.132702E-01                            0.797433E-01                           -0.154902E+00                            0.165108E+13                            0.764615E-01                            0.000000E+00
