 #Time, [s], Average Radius [nm], Total precipitate density [/micron^3], Volume fraction [], Critical radius [nm], Nucleation rate [/micron^3/s], Concentration in the matrix [at %]
                                0.000000                             1257.499822                            0.133040E-01                            0.125000E+00****************************************                            0.000000E+00                            0.674857E-01                            0.000000E+00
                              340.456752                             1181.655028                            0.133040E-01                            0.107074E+00                           -0.207386E+00                            0.114347E+13                            0.711499E-01                            0.000000E+00
                              345.166334                             1180.738425                            0.133040E-01                            0.106872E+00                           -0.208378E+00                            0.114330E+13                            0.711903E-01                            0.000000E+00
                              350.573993                             1179.689911                            0.133040E-01                            0.106642E+00                           -0.209522E+00                            0.114307E+13                            0.712363E-01                            0.000000E+00
                              355.327985                             1178.771612                            0.133040E-01                            0.106441E+00                           -0.210530E+00                            0.114286E+13                            0.712766E-01                            0.000000E+00
                              360.102946                             1177.852517                            0.133040E-01                            0.106240E+00                           -0.211547E+00                            0.114262E+13                            0.713168E-01                            0.000000E+00
                              365.585922                             1176.801147                            0.133040E-01                            0.106010E+00                           -0.212718E+00                            0.114232E+13                            0.713626E-01                            0.000000E+00
                              370.406345                             1175.880342                            0.133040E-01                            0.105809E+00                           -0.213752E+00                            0.114203E+13                            0.714027E-01                            0.000000E+00
                              375.248236                             1174.958736                            0.133040E-01                            0.105609E+00                           -0.214793E+00                            0.114172E+13                            0.714427E-01                            0.000000E+00
                              380.111756                             1174.036327                            0.133040E-01                            0.105409E+00                           -0.215843E+00                            0.114139E+13                            0.714827E-01                            0.000000E+00
                              385.696762                             1172.981159                            0.133040E-01                            0.105180E+00                           -0.217053E+00                            0.114098E+13                            0.715283E-01                            0.000000E+00
                              390.607187                             1172.057023                            0.133040E-01                            0.104980E+00                           -0.218120E+00                            0.114060E+13                            0.715682E-01                            0.000000E+00
                              395.539764                             1171.132078                            0.133040E-01                            0.104781E+00                           -0.219197E+00                            0.114020E+13                            0.716080E-01                            0.000000E+00
                              400.494663                             1170.206322                            0.133040E-01                            0.104581E+00                           -0.220281E+00                            0.113977E+13                            0.716477E-01                            0.000000E+00
                              405.472056                             1169.279754                            0.133040E-01                            0.104382E+00                           -0.221374E+00                            0.113932E+13                            0.716874E-01                            0.000000E+00
                              410.472116                             1168.352372                            0.133040E-01                            0.104183E+00                           -0.222477E+00                            0.113884E+13                            0.717270E-01                            0.000000E+00
                              415.495021                             1167.424175                            0.133040E-01                            0.103984E+00                           -0.223587E+00                            0.113834E+13                            0.717666E-01                            0.000000E+00
                              420.540946                             1166.495160                            0.133040E-01                            0.103785E+00                           -0.224707E+00                            0.113781E+13                            0.718061E-01                            0.000000E+00
                              425.610073                             1165.565327                            0.133040E-01                            0.103587E+00                           -0.225836E+00                            0.113726E+13                            0.718456E-01                            0.000000E+00
                              430.702582                             1164.634674                            0.133040E-01                            0.103388E+00                           -0.226974E+00                            0.113668E+13                            0.718850E-01                            0.000000E+00
                              435.086341                             1163.836318                            0.133040E-01                            0.103218E+00                           -0.227957E+00                            0.113617E+13                            0.719188E-01                            0.000000E+00
                              440.222766                             1162.904139                            0.133040E-01                            0.103020E+00                           -0.229113E+00                            0.113554E+13                            0.719581E-01                            0.000000E+00
                              445.383105                             1161.971135                            0.133040E-01                            0.102822E+00                           -0.230278E+00                            0.113488E+13                            0.719973E-01                            0.000000E+00
                              450.567548                             1161.037307                            0.133040E-01                            0.102625E+00                           -0.231453E+00                            0.113420E+13                            0.720365E-01                            0.000000E+00
                              455.030687                             1160.236226                            0.133040E-01                            0.102456E+00                           -0.232467E+00                            0.113360E+13                            0.720701E-01                            0.000000E+00
                              460.260406                             1159.300862                            0.133040E-01                            0.102258E+00                           -0.233660E+00                            0.113286E+13                            0.721092E-01                            0.000000E+00
                              465.514785                             1158.364671                            0.133040E-01                            0.102061E+00                           -0.234863E+00                            0.113210E+13                            0.721483E-01                            0.000000E+00
                              470.038316                             1157.561562                            0.133040E-01                            0.101892E+00                           -0.235902E+00                            0.113142E+13                            0.721817E-01                            0.000000E+00
                              475.339020                             1156.623832                            0.133040E-01                            0.101696E+00                           -0.237124E+00                            0.113061E+13                            0.722206E-01                            0.000000E+00
                              480.664958                             1155.685271                            0.133040E-01                            0.101499E+00                           -0.238355E+00                            0.112976E+13                            0.722595E-01                            0.000000E+00
                              485.250286                             1154.880129                            0.133040E-01                            0.101331E+00                           -0.239420E+00                            0.112901E+13                            0.722928E-01                            0.000000E+00
                              490.623632                             1153.940025                            0.133040E-01                            0.101134E+00                           -0.240671E+00                            0.112811E+13                            0.723316E-01                            0.000000E+00
                              495.249906                             1153.133559                            0.133040E-01                            0.100966E+00                           -0.241752E+00                            0.112731E+13                            0.723648E-01                            0.000000E+00
                              500.671386                             1152.191911                            0.133039E-01                            0.100771E+00                           -0.243024E+00                            0.112635E+13                            0.724035E-01                            0.000000E+00
                              505.339232                             1151.384121                            0.133039E-01                            0.100603E+00                           -0.244122E+00                            0.112551E+13                            0.724366E-01                            0.000000E+00
                              510.026481                             1150.575720                            0.133039E-01                            0.100435E+00                           -0.245229E+00                            0.112464E+13                            0.724697E-01                            0.000000E+00
                              515.519646                             1149.631813                            0.133039E-01                            0.100240E+00                           -0.246530E+00                            0.112359E+13                            0.725082E-01                            0.000000E+00
                              520.249412                             1148.822087                            0.133039E-01                            0.100073E+00                           -0.247654E+00                            0.112267E+13                            0.725412E-01                            0.000000E+00
                              524.999022                             1148.011750                            0.133039E-01                            0.999055E-01                           -0.248787E+00                            0.112172E+13                            0.725742E-01                            0.000000E+00
                              530.565508                             1147.065586                            0.133039E-01                            0.997107E-01                           -0.250120E+00                            0.112058E+13                            0.726126E-01                            0.000000E+00
                              535.358609                             1146.253926                            0.133039E-01                            0.995439E-01                           -0.251271E+00                            0.111958E+13                            0.726454E-01                            0.000000E+00
                              540.172012                             1145.441656                            0.133039E-01                            0.993772E-01                           -0.252431E+00                            0.111856E+13                            0.726783E-01                            0.000000E+00
                              545.005866                             1144.628776                            0.133039E-01                            0.992107E-01                           -0.253600E+00                            0.111750E+13                            0.727110E-01                            0.000000E+00
                              550.671408                             1143.679646                            0.133039E-01                            0.990165E-01                           -0.254975E+00                            0.111624E+13                            0.727492E-01                            0.000000E+00
                              555.550085                             1142.865448                            0.133038E-01                            0.988503E-01                           -0.256163E+00                            0.111514E+13                            0.727819E-01                            0.000000E+00
                              560.449689                             1142.050641                            0.133038E-01                            0.986842E-01                           -0.257360E+00                            0.111400E+13                            0.728146E-01                            0.000000E+00
                              565.370375                             1141.235228                            0.133038E-01                            0.985183E-01                           -0.258567E+00                            0.111284E+13                            0.728472E-01                            0.000000E+00
                              570.312300                             1140.419209                            0.133038E-01                            0.983525E-01                           -0.259782E+00                            0.111165E+13                            0.728798E-01                            0.000000E+00
