 #Time, [s], Average Radius [nm], Total precipitate density [/micron^3], Volume fraction [], Critical radius [nm], Nucleation rate [/micron^3/s], Concentration in the matrix [at %]
                                0.000000                             2497.067721                            0.170057E-02                            0.125000E+00****************************************                            0.000000E+00                            0.674857E-01                            0.000000E+00
                              630.055514                             2281.216395                            0.170056E-02                            0.999757E-01                           -0.159008E+00                            0.272883E+13                            0.725603E-01                            0.000000E+00
                              635.189586                             2279.654409                            0.170056E-02                            0.998128E-01                           -0.159465E+00                            0.273001E+13                            0.725925E-01                            0.000000E+00
                              640.033928                             2278.183121                            0.170056E-02                            0.996596E-01                           -0.159898E+00                            0.273112E+13                            0.726226E-01                            0.000000E+00
                              645.194136                             2276.618618                            0.170056E-02                            0.994969E-01                           -0.160359E+00                            0.273228E+13                            0.726547E-01                            0.000000E+00
                              650.063175                             2275.144958                            0.170056E-02                            0.993439E-01                           -0.160795E+00                            0.273336E+13                            0.726848E-01                            0.000000E+00
                              655.249730                             2273.577930                            0.170056E-02                            0.991815E-01                           -0.161260E+00                            0.273450E+13                            0.727168E-01                            0.000000E+00
                              660.143667                             2272.101890                            0.170056E-02                            0.990287E-01                           -0.161699E+00                            0.273556E+13                            0.727468E-01                            0.000000E+00
                              665.049749                             2270.624695                            0.170055E-02                            0.988761E-01                           -0.162140E+00                            0.273661E+13                            0.727769E-01                            0.000000E+00
                              670.275820                             2269.053908                            0.170055E-02                            0.987140E-01                           -0.162611E+00                            0.273771E+13                            0.728088E-01                            0.000000E+00
                              675.207100                             2267.574326                            0.170055E-02                            0.985615E-01                           -0.163056E+00                            0.273874E+13                            0.728387E-01                            0.000000E+00
                              680.150671                             2266.093585                            0.170055E-02                            0.984092E-01                           -0.163502E+00                            0.273976E+13                            0.728687E-01                            0.000000E+00
                              685.106583                             2264.611684                            0.170055E-02                            0.982569E-01                           -0.163951E+00                            0.274076E+13                            0.728986E-01                            0.000000E+00
                              690.074883                             2263.128623                            0.170055E-02                            0.981048E-01                           -0.164401E+00                            0.274175E+13                            0.729284E-01                            0.000000E+00
                              695.055621                             2261.644401                            0.170055E-02                            0.979528E-01                           -0.164853E+00                            0.274273E+13                            0.729583E-01                            0.000000E+00
